isin,kind
BRJSCRCTF001,closedend
BRJSRECTF007,closedend
BRJUROCTF002,closedend
BRKCRECTF009,closedend
BRKDIFCTF003,closedend
BRKDOLCTF009,mutual
BRKFOFCTF006,mutual
BRKISUCTF000,closedend
BRKLBNCDAM18,etf
BRKNCACTF006,closedend
BRKNCRCTF000,closedend
BRKNDICTF015,mutual
BRKNHFCTF004,closedend
BRKNHYCTF005,closedend
BRKNIPCTF001,mutual
BRKNOXCTF003,closedend
BRKNPRCTF002,closedend
BRKNRECTF006,mutual
BRKNRICTF007,closedend
BRKNSCCTF008,closedend
BRKNUQCTF004,closedend
BRKONGCTF008,closedend
BRKOPACTF006,closedend
BRKORECTF012,closedend
BRLAFICTF007,mutual
BRLASCCTF003,closedend
BRLFINCTF000,etf
BRLFIXCTF009,etf
BRLFTBCTF002,etf
BRLFTICTF007,etf
BRLFTSCTF006,etf
BRLFTXCTF006,etf
BRLIFECTF017,closedend
BRLIQBCTF002,etf
BRLLFTCTF001,etf
BRLMAICTF003,closedend
BRLPLPCTF008,closedend
BRLRDICTF006,mutual
BRLSAGCTF004,closedend
BRLSOPCTF006,mutual
BRLTBXCTF005,etf
BRLTNBCTF006,etf
BRLVBICTF002,closedend
BRLVOLCTF009,etf
BRMAGMCTF005,mutual
BRMANACTF006,mutual
BRMARGCTF012,etf
BRMATBCTF001,etf
BRMAXRCTF009,closedend
BRMCCICTF008,mutual
BRMCLOCTF007,mutual
BRMCRECTF013,closedend
BRMETACTF013,etf
BRMFIICTF008,closedend
BRMGHTCTF005,closedend
BRMIDBCTF008,etf
BRMIDWCTF004,closedend
BRMILLCTF018,etf
BRMMVECTF006,closedend
BRMXRFCTF008,closedend
BRNASDCTF007,etf
BRNAVTCTF015,closedend
BRNB02CTF007,etf
BRNB05CTF000,etf
BRNB10CTF000,etf
BRNBITCTF002,etf
BRNBOVCTF006,etf
BRNCDICTF004,etf
BRNCRICTF004,closedend
BRNDIVCTF004,etf
BRNEWLCTF004,mutual
BRNEWUCTF005,closedend
BRNEXGCTF002,closedend
BRNLFACTF007,etf
BRNSDVCTF003,etf
BRNSLUCTF008,closedend
BRNTNFCTF003,etf
BRNTNSCTF006,etf
BRNUCLCTF002,etf
BRNUIFCTF001,mutual
BRNVHOCTF003,mutual
BROCRECTF001,closedend
BROGINCTF010,closedend
BROIAGCTF009,closedend
BROLEOCTF009,mutual
BRONDACTF006,closedend
BROROFCTF003,etf
BROUJPCTF006,closedend
BROUROCTF002,etf
BRPABYCTF012,mutual
BRPACBCTF000,etf
BRPACCCTF008,etf
BRPACGCTF009,etf
BRPACLCTF009,etf
BRPATACTF006,closedend
BRPATCCTF002,closedend
BRPCIPCTF003,closedend
BRPDBMCTF003,mutual
BRPEMACTF003,closedend
BRPEVCCTF000,etf
BRPFINCTF001,closedend
BRPFJRCTF000,etf
BRPHIPCTF002,etf
BRPIBBCTF005,etf
BRPICECTF007,closedend
BRPIPECTF009,etf
BRPKINCTF001,etf
BRPLAGCTF000,mutual
BRPLCACTF009,closedend
BRPLRICTF000,closedend
BRPLTBCTF001,closedend
BRPMISCTF006,mutual
BRPMLLCTF005,closedend
BRPMRLCTF002,mutual
BRPNPRCTF001,closedend
BRPORDCTF005,closedend
BRPOSBCTF007,etf
BRPPEICTF009,closedend
BRPPLAUNT007,etf
BRPQAGCTF009,mutual
BRPQDPCTF004,closedend
BRPRAFCTF017,etf
BRPREECTF012,closedend
BRPREXCTF004,etf
BRPRIFCTF002,mutual
BRPRSNCTF005,closedend
BRPRSVCTF008,closedend
BRPSECCTF006,mutual
BRPVBICTF003,closedend
BRQBTCCTF008,etf
BRQDFICTF000,etf
BRQETHCTF001,etf
BRQLBRCTF003,etf
BRQQQICTF009,etf
BRQQQQCTF002,etf
BRQSOLCTF004,etf
BRRARACTF006,etf
BRRBDSCTF006,closedend
BRRBFMCTF004,closedend
BRRBFYCTF009,closedend
BRRBHGCTF002,closedend
BRRBHYCTF005,closedend
BRRBIFCTF002,closedend
BRRBIRCTF007,mutual
BRRBLGCTF004,closedend
BRRBOPCTF009,closedend
BRRBRDCTF008,closedend
BRRBRICTF007,closedend
BRRBRLCTF001,closedend
BRRBRPCTF002,closedend
BRRBRRCTF008,closedend
BRRBRSCTF006,closedend
BRRBRXCTF006,closedend
BRRBRYCTF004,closedend
BRRBVACTF006,closedend
BRRCFACTF007,mutual
BRRCFFCTF006,closedend
BRRCRBCTF000,closedend
BRRCRICTF021,mutual
BRRDLICTF006,closedend
BRRECDCTF004,mutual
