isin,kind
CH1538715371,corporate
CH1538715397,corporate
CH1540977266,corporate
CH1540977274,corporate
CH1543592732,corporate
CH1544304103,government
CH1548688279,corporate
CH1548688311,corporate
CH1548688329,corporate
CH1548688378,corporate
CH1548828412,corporate
CH1552014230,corporate
CH1552014370,corporate
CH1562934526,corporate
CH1562934708,corporate
CH1562934716,corporate
CH1562934740,corporate
CH1562934781,corporate
CH1564488588,corporate
CH1564488653,corporate
CH1564488687,corporate
CH1564488737,corporate
CH1564881998,corporate
CH1564882004,corporate
CH1568283811,corporate
CH1571219281,government
CH1571219323,corporate
CH1571219349,corporate
CH1572819972,corporate
CH1574864281,corporate
CH1578978947,corporate
CH1580409089,corporate
CH1580409279,corporate
CH1581468134,corporate
CH1593191021,corporate
CH1593191039,corporate
CH1593191062,corporate
CND100004XT1,corporate
CND100005PV0,government
CND100006QP8,corporate
CND100006YT4,government
CND1000087R2,government
CND100008B01,government
CND100008MW9,government
CND100008T84,government
CND1000095N4,government
CND100009WF1,government
CND10000BLB2,government
CND10000JC38,corporate
CND10000JCG3,corporate
CND100010FD9,corporate
CND10001TSZ6,corporate
CND10001ZCJ1,corporate
CND100023DY3,corporate
CND100024Z45,corporate
CND100028XW4,corporate
CND10002CHV2,corporate
CND10002HTP8,corporate
CND10002JXN1,corporate
CND10002JYR0,corporate
CND10002L152,corporate
CND10002LS42,corporate
CND100031GJ0,corporate
CND1000343Q1,corporate
CND100034461,corporate
CND100035TW7,corporate
CND100038033,corporate
CND10003HJ06,corporate
CND10003JGY1,corporate
CND10003L820,corporate
CND10003N750,government
CND10003NFZ2,corporate
CND10003NZ16,corporate
CND10003S2K8,corporate
CND10003VRC9,corporate
CND10003VRD7,corporate
CND10003VRL0,corporate
CND10003VSH6,corporate
CND10003W0N0,corporate
CND10003Y7H5,corporate
CND1000421S1,corporate
CND1000421W3,corporate
CND100042209,corporate
CND100042266,corporate
CND1000423F4,corporate
CND1000423G2,corporate
CND1000423J6,corporate
CND100042NY2,corporate
CND1000434W6,corporate
CND1000434Y2,corporate
